"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))",
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,36
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,37
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,38
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,39
1,0,0.058823529411764705,0.47058823529411764,0.35294117647058826,0,0.11764705882352941,1,0,0,0,1,0,40
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,41
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,42
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,43
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,44
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,45
0.9375,0.0625,0,0.1,0,0.5,0.4,1,0.8,0,0,0.2,0,46
1,0,0,0.0625,0.375,0,0.5625,1,0.8,0,0,0.2,0,47
0.9375,0.0625,0,0,0.375,0,0.625,1,0.8,0,0,0.2,0,48
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,49
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,50
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,51
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,52
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,53
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,54
1,0,0,0,0.090909091,0.45454545454545453,0.45454545454545453,1,0.7272727272727273,0.090909091,0,0.18181818181818182,0,55
1,0,0,0,0.23076923076923078,0.23076923076923078,0.5384615384615384,1,0.7272727272727273,0.090909091,0,0.18181818181818182,0,56
1,0,0,0.083333333,0.16666666666666666,0.3333333333333333,0.4166666666666667,1,0.8,0,0,0.2,0,57
1,0,0,0.0625,0.375,0,0.5625,1,0.8,0,0,0.2,0,58
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,59
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,60
1,0,0,0.0625,0.375,0,0.5625,1,0.8,0,0,0.2,0,61
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,62
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,63
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,64
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,65
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,66
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,67
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,68
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,69
1,0,0,0.7,0,0,0.3,1,0.125,0,0,0.5,0.375,70
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,71
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,72
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,73
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,74
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,75
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,76
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,77
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,78
1,0,0.090909091,0,0,0,0.9090909090909091,1,0.5,0,0,0.125,0.375,79
1,0,0,0.1,0,0,0.9,1,0.5,0,0,0.125,0.375,80
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,81
1,0,0.090909091,0.7272727272727273,0,0,0.18181818181818182,1,0,0,0,0.625,0.375,82
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,83
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,84
0.8823529411764706,0.11764705882352941,0,0,0.3333333333333333,0,0.6666666666666666,1,0.8,0,0,0.2,0,85
